Title,Company,Address,Activity Type,About,General Lead Summary,Estimated New Jobs,Timeframe,Created
"Enovis - Cedar Park, Texas  -  -",Enovis,"Cedar Park, Texas, United States",Expansion,"Enovis is a medical technology company focused on developing clinically differentiated solutions that enhance patient outcomes. Founded by brothers Mitchell and Steven Rales as the Colfax Corporation in 1995, Enovis has grown into a global leader in orthopedics and beyond.
","Enovis, a global medical technology company, is expanding its operations in Cedar Park, Texas, with a $25 million investment in a 100,000-square-foot manufacturing facility. The expansion will create at least 162 jobs and further strengthen Cedar Park’s growing life sciences ecosystem. Enovis, which has had a presence in Central Texas for over 30 years, cited the city’s high-tech infrastructure and supportive business environment as key factors in its decision. Cedar Park collaborated with Opportunity Austin to attract the expansion, and employees relocating to the area will be eligible for a financial incentive program.",162,Undetermined,"By SmartSuite Form on Feb 6, 2025"
"Só Dança - Moultrie, Georgia  -  -",Só Dança,"Moultrie, Georgia, United States",New Facility,"Só Dança is a leading dancewear brand known for its innovative products and commitment to the dance community. Founded in Brazil in the 1980s, the company has grown globally, offering a wide range of dance shoes and bodywear. Só Dança is celebrated for its inclusive designs and partnerships with dancers worldwide. 
","Só Dança, a global leader in the dancewear industry, has chosen Moultrie, Georgia, for its new distribution center at 209 Third St. N.E. Renovations are underway, with completion expected in spring 2025, and the facility is projected to create over 30 jobs. This expansion supports the company's growth and commitment to innovation and efficiency. Só Dança, known for its high-quality dance apparel and footwear, supplies major ballet companies, Broadway performers, and Hollywood productions.

",30,2025 - 2nd Quarter ,"By La'Teef Hicks on Feb 6, 2025"
"Trojan Steel - Stephenville, Texas  -  -",Trojan Steel,"Stephenville, Texas, United States",New Facility,"Trojan Steel is a leading company in the steel industry, specializing in steel decking solutions and structural steel. They are known for their high-quality products and exceptional service, catering to a wide array of construction projects across the United States.","Trojan Steel, a leading steel manufacturing company, is establishing its new corporate headquarters and a state-of-the-art manufacturing facility in Stephenville. The project is set on a 10-acre site located off Hwy. 281 and County Road 177 (behind Atwoods). The new facility will include a 100,000-square-foot production building designed to convert incoming steel coil into over 150,000 tons of steel joists and decking annually. This expansion is expected to create more than 50 full-time production jobs—ranging from machinery operation to welding—as well as additional positions (over 50) in the company’s 10,000-square-foot corporate office, covering roles in steel detailing, engineering, accounting, and executive leadership.",50,Undetermined,"By SmartSuite Form on Feb 6, 2025"
"Southwire - Bremen, Georgia  -  -",Southwire,"Bremen, Georgia, United States",New Facility,"Southwire is a leading wire and cable manufacturer in North America, known for its commitment to quality and innovation in the electrical industry. Founded in 1950, Southwire has grown to become one of the world's largest producers of building wire and utility cable.","Southwire, a leading wire and cable company, is building a 1.2 million-square-foot distribution center in Bremen, Georgia as part of its modernization strategy. The facility will consolidate operations from three existing sites in Villa Rica, GA, into a centralized hub for shipping and distribution across the organization. Expected to be completed by Q3 2026, this facility will be one of Southwire’s largest, joining its recent Dallas-Fort Worth distribution center.",,2026 + ,"By SmartSuite Form on Feb 6, 2025"
"Octillion Power Systems - Reno, Nevada  -  -",Octillion Power Systems,"Reno, Nevada, United States",Expansion,"Octillion Power Systems is a leading battery technology company specializing in lithium-ion battery systems for electric vehicles (EVs), commercial vehicles, and industrial applications. They focus on providing customized solutions to meet specific client needs, driving the transition to clean energy. 
","Octillion Power Systems, a supplier of high-density lithium-ion battery packs for electric vehicles, has established a 40,000-square-foot manufacturing facility in Reno, Nevada. The plant, with a projected capacity of 1GWh, is expected to create up to 50 jobs. This expansion is part of Octillion’s North American growth strategy to meet increasing battery system demand across various E-mobility markets. Nevada’s supportive clean tech business environment played a role in the decision. Octillion operates seven global manufacturing sites and focuses on electrification solutions for automotive, construction, agriculture, marine, and energy storage industries.

",50,Undetermined,"By La'Teef Hicks on Feb 6, 2025"
"Vortex Aquatic Structures - Plattsburgh, New York  -  -",Vortex Aquatic Structures,"Plattsburgh, New York, United States",New Facility,"Vortex Aquatic Structures International is a leading manufacturer of splash pads, water slides, and aquatic play structures. Founded in 1995, the company has revolutionized how children and families play in urban spaces, waterparks, and resorts worldwide.","Vortex Aquatic Structures International is expanding its operations by acquiring a 50,000-square-foot manufacturing and distribution facility in Plattsburgh, New York. The new plant is designed to reduce lead times and increase production capacity to better meet customer demand for aquatic solutions. Production is scheduled to begin in 2025. Additionally, the expansion will support the local community by creating new jobs and fostering sustainable practices.",,2025 - 1st Quarter,"By SmartSuite Form on Feb 6, 2025"
"Letica Corp.  (Berry Global) - Fulton , Kentucky  -  -",Letica Corp.  (Berry Global),"Fulton , Kentucky, United States",Expansion,"Letica Corp., a subsidiary of Berry Global, is a leading manufacturer of plastic packaging solutions. The company specializes in producing containers such as buckets, cups, and other rigid packaging products. It is known for its commitment to sustainability and customer service. 
","Letica Corp., a manufacturer of plastic industrial containers, plans to expand its Fulton County, Kentucky, operations with a $27.8 million investment, creating 15 jobs. The project includes adding 45,000 square feet of warehouse space, upgrading machinery, and making property improvements. The Kentucky Economic Development Finance Authority approved a 15-year incentive agreement offering up to $405,000 in tax incentives. Letica specializes in producing plastic and paper containers for industries including building materials, hardware, and retail. This expansion reinforces the company’s long-term commitment to the local economy and workforce.

",15,Undetermined,"By La'Teef Hicks on Feb 6, 2025"
"Murakami Manufacturing USA - Campbellsville, Kentucky  -  -",Murakami Manufacturing USA,"Campbellsville, Kentucky, United States",Expansion,"Murakami Manufacturing USA Inc. is a 135-year-old global company with a focus on manufacturing quality products while prioritizing environmental protection and community involvement. 
","Japan-based Murakami Manufacturing USA, a Tier 1 supplier of side-view exterior mirrors and automotive components, is expanding its operations in Taylor County, Kentucky, with a $3.4 million investment. The expansion aims to enhance shipping capacity rather than add new jobs immediately, though future job growth remains a possibility. The Kentucky Economic Development Finance Authority approved up to $75,000 in tax incentives through the Kentucky Enterprise Initiative Act. Murakami, operating in Kentucky since 2000, continues to invest in the local economy, benefiting from workforce service programs and tax incentives to support its long-term growth.

",,Undetermined,"By La'Teef Hicks on Feb 6, 2025"
"Hex Armor - Grand Rapids, Michigan  -  -",Hex Armor,"Grand Rapids, Michigan, United States",Expansion,"HexArmor is a leading manufacturer of high-performance personal protective equipment (PPE), focusing on safety and sustainability. They aim to protect people by creating and delivering the safest and highest quality safety solutions. 
","Hex Armor, a manufacturer of personal protective equipment (PPE), is expanding its operations in Grand Rapids, Michigan, with an investment of $11.4 million, creating at least 100 jobs. The expansion includes a 59,000-square-foot addition to its headquarters, tripling product holding and processing capacity while adding office space. Supported by a $700,000 Michigan Business Development Program grant, the project reinforces Hex Armor’s commitment to West Michigan. The company, known for safety gloves, eyewear, helmets, and hearing protection, continues to grow its global presence while leveraging the region’s skilled workforce and strong business climate.

",100,Undetermined,"By La'Teef Hicks on Feb 6, 2025"
"Matrix Consulting Engineers - , Michigan  -  -",Matrix Consulting Engineers,"Michigan, United States",Growth Company,"Matrix Consulting Engineers is a consulting firm that specializes in providing mechanical and electrical engineering services to various sectors, including commercial, educational, and governmental institutions. They focus on delivering cost-effective solutions with a strong emphasis on long-term relationships with clients. 
","Matrix Consulting Engineers, a mechanical and electrical engineering firm, plans to establish operations in Delta Township, Michigan, with a $5.1 million investment, creating 55 jobs in Eaton County. The project involves purchasing and renovating a 35,000-square-foot building for office and administrative functions. Supported by a $385,000 Michigan Business Development Program grant and a $100,000 local tax exemption, the expansion consolidates the company’s offices and strengthens its presence in the Lansing area. Matrix Consulting Engineers specializes in customized renovation and design solutions for public and private sector clients.

",55,Undetermined,"By La'Teef Hicks on Feb 6, 2025"
"Ceres Tag - Overland Park, Kansas  -  -",Ceres Tag,"Overland Park, Kansas, United States",Other,"Ceres Tag is a leading company in animal monitoring technology, offering a proprietary smart ear tag with direct-to-satellite capability. This innovation provides comprehensive data on animal health, movement, and geospatial location, making it a crucial tool for the livestock industry. 
","Australia-based Ceres Tag, a provider of direct-to-satellite animal monitoring technology, is establishing its North American headquarters in Overland Park, Kansas, at the Aspiria Campus. The project is expected to create up to six jobs. Ceres Tag’s technology enables real-time tracking and data analytics for livestock and wildlife, supporting productivity, profitability, and sustainability in agriculture and conservation. The company selected the Kansas City region due to its strong reputation as a global hub for animal health innovation, which represents 56% of worldwide animal health, diagnostics, and pet food sales.

",6,Undetermined,"By SmartSuite Form on Feb 6, 2025"
"Green Heath Laboratories - Foley, Alabama  -  -",Green Heath Laboratories,"Foley, Alabama, United States",Other,"Green Heath Laboratories is a specialized laboratory that focuses on advanced testing for the cannabis and hemp industries. They aim to ensure product quality and safety through compliance testing. 
","Green Heath Laboratories, an ISO/IEC accredited laboratory specializing in advanced cannabis and hemp testing, plans to establish operations in Foley, Alabama, with a $3.4 million investment, creating up to 50 jobs over three years. The testing facility will be located on Section Avenue and is set to begin operations in early 2025. The company focuses on compliance testing to ensure product safety and quality for cultivators, processors, and manufacturers. The project aligns with Foley’s Health and Wellness Village initiative, which aims to attract medical and health-related businesses to the area.

",50,2025 - 1st Quarter,"By SmartSuite Form on Feb 6, 2025"
"Piston Automotive Group - Kansas City, Missouri  -  -",Piston Automotive Group,"1400 Warren Street, Kansas City, Missouri, 64116, United States",New Facility,"Piston Automotive is a leading value-added assembly company specializing in automotive manufacturing, particularly in advanced electric and hybrid vehicle battery systems. Founded in 1995, it has evolved into a prominent player in the automotive industry. 
","Piston Automotive, a subsidiary of Piston Group, plans to establish manufacturing operations in Detroit, Michigan, with an investment of up to $55 million, creating 144 jobs. The company will lease and renovate a 200,000-square-foot facility at 20400 Ralston Street to produce hydrogen fuel cells. Supported by a $1.5 million Michigan Business Development Program grant, the project reinforces Detroit’s position as a hub for advanced mobility and zero-emission vehicle technology. Piston Automotive specializes in vehicle systems, including powertrain and chassis components, and operates manufacturing facilities across several states.

",144,Undetermined,"By SmartSuite Form on Feb 6, 2025"
"INNIO Group - Trenton, New Jersey  -  -",INNIO Group,"840 Nottingham Way, Trenton, New Jersey, 08638, United States",New Facility,"INNIO Group is a global energy solutions and service provider specializing in power generation and gas compression, primarily known for its Jenbacher and Waukesha product brands, offering innovative and sustainable energy solutions through its AI-powered ""myPlant"" digital platform; headquartered in Jenbach, Austria, with key operations in Waukesha, Wisconsin, USA and Welland, Ontario, Canada, INNIO focuses on providing flexible, scalable, and resilient energy options to industries and communities navigating the transition towards greener energy sources, backed by a service network spanning over 100 countries","INNIO Group, a global energy solutions provider, is opening a new packaging and assembly facility at 840 Nottingham Way in Hamilton, New Jersey. The expansion, made possible through a lease agreement with CRP Development LLC, is expected to create over 200 manufacturing jobs within the next three to five years. The facility was chosen for its advanced infrastructure, including 60-foot ceilings, heavy power capabilities, and cranes, making it ideal for INNIO’s Jenbacher engine-based technology operations. Local officials praised the investment, citing its economic benefits and contribution to Hamilton’s industrial growth.",200,2026 + ,"By Matt Robbins on Feb 4, 2025"
"Packer Fastener - Columbus, Ohio  -  -",Packer Fastener,"5176 Fisher Road, Columbus, Ohio, 43228, United States",New Facility,,"Packer Fastener, a Green Bay-based threaded fastener and industrial supply distributor, has opened a new 25,000-square-foot distribution center in Columbus, Ohio. This facility enhances the company's service capabilities across the East, North, Central, and Midwest regions. It marks Packer Fastener’s third distribution center, following an earlier expansion in Kansas City. The company, recognized for its growth and workplace culture, continues its rapid expansion to better serve customers. ",,Current,"By Matt Robbins on Feb 4, 2025"
"Cosentino Group  - Jacksonville, Florida  -  -",Cosentino Group ,"Jacksonville, Florida, United States",New Facility,"The Cosentino Group is a globally recognized, family-owned Spanish company that produces and distributes high-quality, innovative, and sustainable surfaces primarily used in architecture and design, with leading brands like Silestone, Dekton, and Sensa by Cosentino, known for their advanced technology and ability to create unique spaces for both residential and commercial applications; the company focuses on international expansion, research and development, environmental responsibility, and social commitment within the communities where it operates. 
","Spanish company Cosentino, a manufacturer of sustainable stone surfaces, is investing $270 million in a new manufacturing facility in Jacksonville, Florida. The facility, set on 570 acres off Interstate 10, will be the company's first North American production site and create 180 jobs. Cosentino selected Jacksonville due to its proximity to ports, railroads, key infrastructure, and state and regional incentives. The company, which relocated its North American headquarters from Houston to Coral Gables in 2017, has around 6,000 global employees.",180,Undetermined,"By Matt Robbins on Feb 4, 2025"
"Mirac Tabtronics - Manchester, Ohio  -  -",Mirac Tabtronics,"Manchester, Ohio, United States",Expansion,"Mirac Tabtronics is a leading provider of electronics manufacturing and development services. Known for its commitment to quality and customer satisfaction, the company offers a range of services including engineering, research, and assembly. 
","Mirac Tabtronics is investing $2.7 million to expand its production capabilities in Ohio. The company will allocate $1.04 million to upgrade its Manchester facility into a state-of-the-art advanced manufacturing center, catering to high-end industries like medical and aerospace. Additionally, $1.65 million will be invested at its Lynchburg headquarters to support market expansion and long-term growth, creating 20 new jobs. With support from a $591,000 JobsOhio Revitalization Grant, both projects will generate a total of 40 new jobs, reinforcing Mirac’s commitment to economic development in Southern Ohio.",40,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"Ridgid (Emerson) - Elyria, Ohio  -  -",Ridgid (Emerson),"Elyria, Ohio, United States",Expansion,"Ridgid is a leading tool brand owned by Emerson, known for its innovative products in the plumbing, HVAC, and construction trades. The company was founded in 1923 and has since become a global leader in tool technology.","Ridgid has expanded press jaw production at its headquarters in Elyria, Ohio, with a new 30,000-square-foot workspace. The facility incorporates advanced robotic systems, new milling machines, and high-capacity part fixtures, doubling annual production capacity and reducing lead times by 30 days. This investment enhances efficiency while maintaining quality through hands-on assembly and inspection. The expansion is part of Ridgid’s continued growth on its 27-acre campus, which houses manufacturing, technology labs, training centers, and service operations. Ridgid, a leader in press technology since 1999, remains the only U.S. manufacturer of press jaws.",,Current,"By SmartSuite Form on Feb 3, 2025"
"Hancock Lumber - Casco, Maine  -  -",Hancock Lumber,"Casco, Maine, United States",Expansion,"Hancock Lumber is a family-owned, seventh-generation company operating since 1848, known for its commitment to innovative technology and community values. They offer a range of products and services in Maine and New Hampshire, including lumber, building supplies, and design showrooms.","Hancock Lumber is expanding into light manufacturing with a 100,000-square-foot facility in Casco, Maine, creating 10 to 12 initial jobs, with potential growth to 30 positions. The facility will produce wall panels using lumber from its existing operations. Construction is expected to begin in late summer 2025, with completion by fall 2026. This marks Hancock Lumber’s largest infrastructure investment in years, reinforcing its long-term commitment to the community",,2026 + ,"By SmartSuite Form on Feb 3, 2025"
"Second Harvest Food Bank of Central Florida - Melbourne, Florida  -  -",Second Harvest Food Bank of Central Florida,"Melbourne, Florida, United States",New Facility,"Second Harvest Food Bank of Central Florida is a 501 non-profit organization dedicated to alleviating hunger in Central Florida. It is a member of Feeding America, the largest domestic hunger relief organization in the United States. 
","Second Harvest Food Bank of Central Florida has opened a large warehouse in Melbourne to better support local food pantries, increasing storage capacity for perishable goods and groceries by 50%. Located at 3125 Skyway Circle, the facility enables faster food distribution to the community and provides space for volunteer packing events. The expansion comes as food demand rises in Brevard County, where Second Harvest delivered over 8 million meals in 2024. The new warehouse enhances efficiency, helping partner agencies like Eau Gallie Baptist Church serve more families in need.

",,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"Nestlé USA - Glendale, Arizona  -  -",Nestlé USA,"Glendale, Arizona, United States",New Facility,"Nestëlé USA is a major player in the food and beverage industry, offering a wide range of products including coffee, milk, and pet food. The company is committed to enhancing quality of life and contributing to a healthier future.","Nestlé USA has opened a $675 million beverage factory and distribution center in Glendale, Arizona, creating 300 jobs. The facility will produce creamers for brands such as Coffee mate, Natural Bliss, and Starbucks, with potential for expansion into other beverages. This marks Nestlé’s 20th food and beverage factory in the U.S. The new plant incorporates sustainability measures, including water recycling, recyclable packaging, and renewable electricity, aligning with Nestlé’s goal of achieving zero emissions by 2050.",300,Current,"By SmartSuite Form on Feb 3, 2025"
"Yancey Engineered Solutions (Yancey Bros. Co.) - Batesville, Mississippi  -  -",Yancey Engineered Solutions (Yancey Bros. Co.),"Batesville, Mississippi, United States",New Facility,"Yancey Engineered Solutions, formerly known as Yancey Bros. Co., is a leading provider of rotating equipment packaging and engineering services. Founded in 1914, the company has evolved to become a prominent player in the global market, offering solutions for sound-attenuated packaging, testing, and design. 
","Yancey Engineered Solutions is establishing a manufacturing facility in Batesville, Mississippi, at the former Crown Cork and Seal site. The $20.8 million investment will create 250 jobs and support the production of generator enclosures and fuel tanks. The project benefits from assistance through the Mississippi Flexible Tax Incentive (MFLEX) program and additional support for building improvements.

",250,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"Siemens Energy - Raleigh, North Carolina  -  -",Siemens Energy,"Raleigh, North Carolina, United States",Expansion,"Siemens Energy is a global leader in energy technology, committed to shaping the future of energy systems. With a rich history dating back 150 years, the company has evolved to become a key player in the transition to a sustainable energy future.","Siemens Energy is expanding its presence in Raleigh, North Carolina, with plans to hire 200 new technologists, significantly increasing its workforce in the area. To accommodate this growth, the company has leased the entire 110,500-square-foot 540 Tech Center building on Green Road, which includes lab space for designing and testing energy equipment. This expansion is driven by rising demand for power generation nationwide. If Siemens Energy meets its investment and job creation targets in Raleigh and Charlotte, it could receive a state incentive package worth nearly $10 million. The company, which spun off from Siemens AG in 2020, continues to expand its engineering and grid solutions operations.

",200,Current,"By SmartSuite Form on Feb 3, 2025"
"Wedlake Industries - Hohenwald, Tennessee  -  -",Wedlake Industries,"Hohenwald, Tennessee, United States",Expansion,"Wedlake Industries, LLC is a manufacturer of high-quality custom PVC compounds based in Hohenwald, Tennessee. They specialize in plastic compounding, tolling compounds, and plastics research and development. 
","Wedlake Industries is expanding its manufacturing operations in Hohenwald, Tennessee, with a $10 million investment that will create 46 jobs in Lewis County. The company produces custom PVC compounds for industries including record pressing, vinyl flooring, roofing, and pipe manufacturing. This expansion strengthens Wedlake’s ability to support Tennessee’s growing music industry, strategically positioning it between Nashville Record Pressing and Memphis Record Pressing.

",,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"AAA Cooper Transportation - Bowling Green, Kentucky  -  -",AAA Cooper Transportation,"Bowling Green, Kentucky, United States",New Facility,"AAA Cooper Transportation is a multi-regional transportation solutions provider offering services such as less-than-truckload, truckload, dedicated contract carriage, brokerage, fleet maintenance, and international services. The company is a subsidiary of Knight-Swift Transportation Holdings and operates in the Southeast, Southwest, and Midwest regions. 
","AAA Cooper Transportation, a logistics and transportation company headquartered in Dothan, Alabama, announced a $13.2 million investment to expand its operations in Bowling Green, Kentucky. The company plans to build a new facility in Warren County, creating 20 new jobs. President and CEO Charlie Pricett cited the region’s opportunities and strong local leadership as key factors in the decision. Details on the exact location and construction timeline have not yet been disclosed.",20,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"Pratt & Whitney (RTX) - Asheville, North Carolina  -  -",Pratt & Whitney (RTX),"Asheville, North Carolina, United States",Expansion,"Pratt & Whitney, a subsidiary of Raytheon Technologies (RTX), is a global leader in aerospace propulsion systems. The company is known for designing, manufacturing, and servicing aircraft engines and auxiliary power units for both commercial and military aviation. 
","Pratt & Whitney is expanding its turbine airfoil manufacturing facility in Asheville, North Carolina, with a $285 million investment that will create 325 jobs in Buncombe County. The project, supported by a Job Development Investment Grant (JDIG), is expected to boost the state’s economy by $2.1 billion over 12 years. The expansion will enhance production capacity for engines like the GTF for the A320 family and the F135 for the F-35 Lightning II.

",325,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"Diageo North America - Montgomery, Alabama  -  -",Diageo North America,"Montgomery, Alabama, United States",New Facility,"Diageo North America is a leading company in the beverage alcohol industry, operating in the United States and Canada. They are known for their iconic brands such as Johnnie Walker, Crown Royal, and Guinness. The company supports over 185,000 jobs and contributes significantly to local economies","Diageo North America announced plans to open a new 360,000-square-foot manufacturing and warehousing facility in Montgomery, Alabama, as part of its efforts to enhance supply chain resilience and efficiency. The facility, named ""Diageo Montgomery,"" will support the company's beverage distribution in the southern U.S., reduce carbon emissions, and implement sustainable energy and water practices. With an investment of approximately $415 million, the site is expected to be operational in late 2025, creating 750 construction jobs and 100 full-time positions.",850,2025 - 4th Quarter,"By SmartSuite Form on Feb 3, 2025"
"UniFirst Corp. - Owensboro, Kentucky  -  -",UniFirst Corp.,"Owensboro, Kentucky, United States",Expansion,"UniFirst Corporation is a leading provider of uniforms and protective workwear in North America, serving over 300,000 customers across the United States and Canada. Founded in 1936, the company has grown significantly, employing over 14,000 people and operating more than 260 facilities globally","UniFirst Corp., a North American leader in uniform and workwear solutions, is expanding its Owensboro facility with a nearly $28 million investment. The project will enhance the company’s 360,000-square-foot distribution and fulfillment center by increasing building space, upgrading equipment, and improving personalization capabilities. Governor Andy Beshear highlighted the expansion as a testament to Kentucky’s skilled workforce and economic growth. Local officials praised UniFirst’s long-standing commitment to the Owensboro community, where it has operated for over 20 years. ",,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"HM Cragg - Eden Prairie, Minnesota  -  -",HM Cragg,"Eden Prairie, Minnesota, United States",New Facility,"HM Cragg is a 100% employee-owned company specializing in critical power and infrastructure. Founded in 1968, they provide backup power solutions for various industries, including data centers, telecom, and switchgear. 
","HM Cragg, a provider of backup power solutions, has signed a 92,224-square-foot industrial lease at Nexus at Opus Park in Eden Prairie, Minnesota. The company is relocating from Edina and plans to open its new facility in early 2026. Nexus at Opus Park, developed by Endeavor Development, is a two-building, 174,230-square-foot project on the site of the former American Family Insurance office campus.

",,2026 + ,"By SmartSuite Form on Feb 3, 2025"
"Premier Care Industries - Hauppauge, New York  -  -",Premier Care Industries,"Hauppauge, New York, United States",Lease,"Premier Care Industries is a leading manufacturer of wet wipes and hygiene products, known for its commitment to quality and innovation. Founded in 1997, the company is a family-owned business that operates state-of-the-art manufacturing facilities.
","Premier Care Industries, a provider of wet wipes, has signed a 56,500-square-foot industrial lease at 100 Marcus Blvd. in Hauppauge, New York. The facility, built in 1971 and totaling 151,847 square feet, will serve as the company’s new logistics warehouse. JLL represented both Premier Care Industries and the landlord, BEB Capital, in the lease negotiations.

",,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"The Home Depot - Savannah, Georgia  -  -",The Home Depot,"Savannah, Georgia, United States",New Facility,"The Home Depot is a leading home improvement retailer, known for its vast product offerings and extensive store network across the U.S., Canada, and Mexico. Founded in 1978 by Bernie Marcus and Arthur Blank, it has grown to become the world's largest home improvement retailer, employing over 400,000 associates. 
","The Home Depot has purchased a 1.4 million-square-foot distribution center from the Savannah Economic Development Authority (SEDA). Located near the Port of Savannah, the facility had been leased by The Home Depot since 1995. The acquisition also includes 100 acres of adjacent land. The distribution center supports hundreds of The Home Depot stores and employs approximately 250 people.

",250,Undetermined,"By SmartSuite Form on Feb 3, 2025"
"PBS Aerospace - Roswell, Georgia  -  -",PBS Aerospace,"Roswell, Georgia, United States",New Facility,"PBS Aerospace is a leading global manufacturer of aircraft engines, auxiliary power units, environmental control systems, and gearboxes. The company operates globally in the aerospace, defense, and precision engineering sectors, with a strong presence in Europe and the United States. 
","PBS Aerospace, a manufacturer of small turbojet engines, is investing up to $20 million to establish its North American headquarters, manufacturing, and R&D operations in Roswell, Georgia. This expansion will create at least 95 new jobs and strengthen the company’s ties to the U.S. market. The new facility will support aerospace and defense sectors, including the U.S. Department of Defense. PBS Aerospace selected Georgia due to its skilled workforce, infrastructure, and strong business environment. Operations are expected to be fully functional by April 2025, reinforcing Atlanta’s role in the aerospace industry.

",95,2025 - 2nd Quarter ,"By SmartSuite Form on Feb 3, 2025"
"Lifetime Brands (LCUT) - Hagerstown, Maryland  -  -",Lifetime Brands (LCUT),"Hagerstown, Maryland, United States",New Facility,"Lifetime Brands is a leading global provider of kitchenware, tableware and other products used in the home. We offer brands you trust, value without compromise and an unwavering commitment to innovation. Our products make it easier for you to prepare food, serve meals, entertain guests, and decorate your home. ","Lifetime Brands announced plans to construct a new 1.027 million-square-foot distribution center in Hagerstown, representing a 46% capacity increase. The facility will replace the current east coast distribution center in Robbinsville, NJ, and is expected to be operational by Q2 2026. The expansion includes 327,000 square feet of additional capacity and financial incentives such as rent abatement, tax credits, and grants.",,2026 + ,"By Matt Robbins on Jan 29, 2025"
"Mammoth Freighters - Fort Worth, Texas  -  -",Mammoth Freighters,"Fort Worth, Texas, United States",Expansion,"Mammoth Freighters is a leading company in the development and conversion of Boeing 777 aircraft into freighters. Founded in December 2020, Mammoth specializes in converting passenger to freighter models, offering a flexible business model that caters to global air cargo operators.","Mammoth Freighters, based at Perot Field Fort Worth Alliance Airport, is expanding its warehouse space in the Alliance area of Fort Worth. The Fort Worth City Council approved an amendment to the company's lease on January 13, 2025, adding 21,200 square feet to its facility in Building No. 11. This expansion increases the total warehouse space to 93,487 square feet",,2025 - 1st Quarter,"By SmartSuite Form on Jan 28, 2025"
"PM-International - , Florida  -  -",PM-International,"Florida, United States",New Facility,"PM-International is a family-run company specializing in dietary supplements and cosmetics, based in Schengen, Luxembourg. Founded in 1993 by Rolf Sorg, it has grown to become one of the largest direct-selling companies in Europe, known for its innovative products and global reach. 
","PM-International has broken ground on its new HQ Americas facility in Florida, a key milestone in its growth strategy for the region. The project is part of the company’s vision to surpass $1 billion in regional sales and $5 billion globally by 2027. The $50 million investment will occur in three phases, with an initial $22 million allocated for land acquisition and construction. The facility will feature eco-friendly elements, administrative offices, a direct sales center, and production areas to support its FitLine products. Once completed, it is expected to generate 400-500 jobs, reinforcing PM-International’s commitment to economic growth and sustainability.

",500,2026 + ,"By SmartSuite Form on Jan 28, 2025"
"Agile Cold Storage, LLC - Kaufman, Texas  -  -","Agile Cold Storage, LLC","Kaufman, Texas, United States",New Facility,"Agile Cold Storage, LLC is a leading provider of customized cold storage solutions in the United States, focusing on safety and service. They offer a range of services including automated and conventional warehousing, catering to diverse client needs.","Agile Cold Storage, based in Atlanta, Georgia, broke ground on a 122,949-square-foot cold storage facility in Kaufman, Texas, on January 23, 2025. The $61 million investment will feature frozen, refrigerated, and deep-freeze zones to support domestic and international food markets. This project marks Kaufman's largest industrial capital investment, creating over 70 jobs, including roles such as general manager, office manager, and warehouse operators. The facility, set to open by the end of 2025.",70,2025 - 4th Quarter,"By SmartSuite Form on Jan 28, 2025"
"Nestlé USA - Glendale, Arizona  -  -",Nestlé USA,"Glendale, Arizona, United States",New Facility,"Nestêl USA is a leading food and beverage company in the United States, known for its diverse portfolio of brands and commitment to innovation and sustainability. The company operates through several key businesses, including Nestêl USA, Nespresso, Nestêl Health Science, and Nestêl Purina PetCare Company. 
","Nestlé USA has opened a state-of-the-art beverage factory and distribution center in Glendale, Arizona, following a $675 million investment. The 630,000-square-foot facility will produce creamers for brands like Coffee mate®, natural bliss®, and Starbucks®, with flexibility to expand production. It incorporates advanced technology, sustainability features such as water recycling, renewable electricity, and zero-waste operations. The project adds 300 jobs to the local community and strengthens Nestlé’s West Coast distribution network. To support the Glendale community, Nestlé has donated $100,000 to St. Mary’s Food Bank, providing 500,000 meals and job training opportunities.

",300,Undetermined,"By SmartSuite Form on Jan 28, 2025"
"Pratt & Whitney - Asheville, North Carolina  -  -",Pratt & Whitney,"Asheville, North Carolina, United States",Expansion,"Pratt & Whitney is a leading aerospace company, part of RTX Corporation, specializing in the design, manufacture, and service of aircraft engines and auxiliary power units. It plays a vital role in both commercial and military aviation, known for its commitment to innovation and quality. 
","Pratt & Whitney is expanding its turbine airfoil manufacturing plant in Asheville, North Carolina, with a $285 million investment that will create 325 new jobs. The facility, originally announced in 2020, produces advanced components for aircraft jet engines, including the GTF for the A320 family and the F135 for the F-35 Lightning II. The new positions, averaging a salary of $62,413, will contribute over $20 million annually to the local payroll. Supported by a Job Development Investment Grant (JDIG) and multiple state and local partnerships, the expansion is projected to boost the state’s economy by $2.1 billion over 12 years, with a 317% return on public investment.

",325,Undetermined,"By SmartSuite Form on Jan 28, 2025"
